pattern_id,name,permalink,published,free,price,currency,craft,pattern_categories,yarn_weight,yarn_weight_description,gauge,row_gauge,gauge_description,yardage,yardage_max,yardage_description,projects_count,favorites_count,queued_projects_count,difficulty_average,rating_average,rating_count,downloadable
1304301,Sweater lolli pop,sweater-lolli-pop,,False,,,,null,,,,,,,,,,,,,,,
1306065,Sweater Rose,sweater-rose-2,,False,,,,null,,,,,,,,,,,,,,,
1335629,Sweater with Diamonds S9375,sweater-with-diamonds-s9375,,True,,,,null,,,,,,,,,,,,,,,
1331145,Sweater in fisherman’s rib 1698,sweater-in-fishermans-rib-1698,,True,,,,null,,,,,,,,,,,,,,,
1369039,Sweater Cuspide,sweater-cuspide,,False,,,,null,,,,,,,,,,,,,,,
7304319,Sweater No.16,sweater-no16,,False,,,,null,,,,,,,,,,,,,,,
7295596,Sweater No26,sweater-no26,,False,,,,null,,,,,,,,,,,,,,,
1369043,Sweater Sosiego,sweater-sosiego,,False,,,,null,,,,,,,,,,,,,,,
7371485,Sweater S,sweater-s,,False,,,,null,,,,,,,,,,,,,,,
7388351,Sweater Paws and Stripes,sweater-paws-and-stripes,,True,,,,null,,,,,,,,,,,,,,,
7404133,Sweater No52,sweater-no52,,False,,,,null,,,,,,,,,,,,,,,
7391041,Sweater 5,sweater-5,,False,,,,null,,,,,,,,,,,,,,,
7403785,Sweater No35,sweater-no35,,False,,,,null,,,,,,,,,,,,,,,
7468669,Sweater No17,sweater-no17,,False,,,,null,,,,,,,,,,,,,,,
7449278,Sweater Winter,sweater-winter,,False,,,,null,,,,,,,,,,,,,,,
7475892,Sweater No57,sweater-no57,,False,,,,null,,,,,,,,,,,,,,,
572077,Sweater With Cables,sweater-with-cables-3,,False,,,,null,,,,,,,,,,,,,,,
100911,Sweater Scarf,sweater-scarf,,False,,,,null,,,,,,,,,,,,,,,
196742,Sweater for Newborns,sweater-for-newborns,,True,,,,null,,,,,,,,,,,,,,,
689841,Sweater No. 8483,sweater-no-8483,,False,,,,null,,,,,,,,,,,,,,,
915147,Sweater hoodie,sweater-hoodie,,True,,,,null,,,,,,,,,,,,,,,
7314343,Sweater Shawl,sweater-shawl-9,,False,,,,null,,,,,,,,,,,,,,,
66192,Sweater Shaped Shawl,sweater-shaped-shawl,,True,,,,null,,,,,,,,,,,,,,,
55616,Sweater & Blanket (Sweater),sweater--blanket-sweater,,True,,,,null,,,,,,,,,,,,,,,
146974,Sweater #4,sweater-4-2,,False,,,,null,,,,,,,,,,,,,,,
195406,Sweater with Locked Turning Stitches at Edges,sweater-with-locked-turning-stitches-at-edges,,False,,,,null,,,,,,,,,,,,,,,
190756,Sweater 2,sweater-2-2,,True,,,,null,,,,,,,,,,,,,,,
316919,Sweater with Square Armholes,sweater-with-square-armholes,,False,,,,null,,,,,,,,,,,,,,,
389856,Sweater Lots of Love,sweater-lots-of-love,,True,,,,null,,,,,,,,,,,,,,,
788451,"Sweater ""Spring""",sweater-spring,,False,,,,null,,,,,,,,,,,,,,,
943251,Sweater «Soaring sheep»,sweater-soaring-sheep,,False,,,,null,,,,,,,,,,,,,,,
921382,"Sweater ""Marshmallow""",sweater-marshmallow,,False,,,,null,,,,,,,,,,,,,,,
933083,Sweater,sweater-140,,False,,,,null,,,,,,,,,,,,,,,
1238798,Sweater Historia,sweater-historia,,False,,,,null,,,,,,,,,,,,,,,
1367852,Sweater Lupe,sweater-lupe,,True,,,,null,,,,,,,,,,,,,,,
7495548,Hannah Sweater O-neck,hannah-sweater-o-neck,,False,,,,null,,,,,,,,,,,,,,,
1355481,Eva Cardigan,eva-cardigan-6,,False,,,,null,,,,,,,,,,,,,,,
7497912,Basic raglan sweater,basic-raglan-sweater-3,,True,,,,null,,,,,,,,,,,,,,,
7498051,Cozycottagesweater,cozycottagesweater,,False,,,,null,,,,,,,,,,,,,,,
7311435,Terracotta Sweater,terracotta-sweater-2,,False,,,,null,,,,,,,,,,,,,,,
7491345,Rujuu Sweater,rujuu-sweater,,False,,,,null,,,,,,,,,,,,,,,
840489,Cumulus Blouse,cumulus-blouse,,False,,,,null,,,,,,,,,,,,,,,
1258422,Monday Sweater Junior,monday-sweater-junior,,False,,,,null,,,,,,,,,,,,,,,
970668,Northland Sweater,northland-sweater,,False,,,,null,,,,,,,,,,,,,,,
7323659,Esther Sweater,esther-sweater-3,,False,,,,null,,,,,,,,,,,,,,,
873567,Novice Sweater,novice-sweater,,False,,,,null,,,,,,,,,,,,,,,
993179,Louisiana Sweater,louisiana-sweater,,False,,,,null,,,,,,,,,,,,,,,
1189402,DRK Everyday Sweater,drk-everyday-sweater,,False,,,,null,,,,,,,,,,,,,,,
